id,mood,circumplex.arousal,circumplex.valence,activity,screen,call,sms,appCat.builtin,appCat.communication,appCat.entertainment,appCat.finance,appCat.game,appCat.office,appCat.other,appCat.social,appCat.travel,appCat.unknown,appCat.utilities,appCat.weather,target,smstime,calltime,weekday_0,weekday_1,weekday_2,weekday_3,weekday_4,weekday_5,weekday_6
AS14.02,,,,,,24,9,,,,,,,,,,,,,,974.0,968.0,0,0,0,1,0,0,0
AS14.02,,,,,,16,6,,,,,,,,,,,,,,976.0,975.0,0,0,0,0,1,0,0
AS14.02,,,,,21.98856164984508,16,2,7.521571428571429,16.532758064516127,16.0458,,,,24.787444444444443,5.7262,,,,,,976.0,973.0,0,0,0,0,0,1,0
AS14.02,,,,,27.11537255492865,16,1,14.016641304347827,18.421337142857144,25.6076,,,,24.787444444444443,5.7262,15.7125,,,,6.333333333333333,971.0,969.0,0,0,0,0,0,0,1
AS14.02,6.333333333333333,0.0,0.0,,31.097492108219555,17,1,17.72476325088339,26.345301652892562,28.597333333333335,,,,22.542607142857143,9.555545454545454,15.7125,,,,6.75,969.0,964.0,1,0,0,0,0,0,0
AS14.02,6.571428571428571,0.2857142857142857,0.2857142857142857,0.1680684149503257,46.29920682256871,15,1,15.45051269035533,35.88599272727273,184.454,,,,18.95574074074074,10.541444444444444,15.7125,,,,8.2,967.0,964.0,0,1,0,0,0,0,0
AS14.02,7.25,0.4166666666666667,0.5,0.20787432667041228,46.385940763622656,23,2,16.76714973262032,41.29190747330961,298.72366666666665,,,,18.76646875,10.803978260869565,,,,,6.8,965.0,957.0,0,0,1,0,0,0,0
AS14.02,7.285714285714286,0.5,0.5714285714285714,0.25489575074905846,49.46969048233775,24,2,13.110525547445254,37.70711945392492,139.81300000000002,,,,15.681947368421053,10.682558823529412,17.72390625,,,,7.25,965.0,953.0,0,0,0,1,0,0,0
AS14.02,7.428571428571429,0.21428571428571427,0.6428571428571429,0.25804703377214266,37.40254825196769,30,3,13.904112412177986,32.648274436090226,17.33048,,,,14.795526315789473,11.872030303030304,17.72390625,,,,7.5,969.0,954.0,0,0,0,0,1,0,0
AS14.02,7.153846153846154,-0.23076923076923078,0.6153846153846154,0.28142821398703266,53.861231819607994,25,3,12.014768898488121,36.06543127962085,32.15692,,,,12.7965,14.932473684210526,20.18922,,,,6.5,972.0,963.0,0,0,0,0,0,1,0
